Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition
Rainy,City Road,Morning,1.0,100.0,5.0,0.0,Wet,Car,51.0,48.0,Artificial Light
Clear,Rural Road,Night,1.0,120.0,3.0,0.0,Wet,Truck,49.0,43.0,Artificial Light
Rainy,Highway,Evening,1.0,60.0,4.0,0.0,Icy,Car,54.0,52.0,Artificial Light
Clear,City Road,Afternoon,2.0,60.0,3.0,0.0,Under Construction,Bus,34.0,31.0,Daylight
Rainy,Highway,Morning,1.0,195.0,11.0,0.0,Dry,Car,62.0,55.0,Artificial Light
Clear,Rural Road,Night,0.0,120.0,3.0,0.0,Dry,Truck,49.0,43.0,Artificial Light
Foggy,Highway,Afternoon,0.0,60.0,4.0,0.0,Dry,Truck,27.0,26.0,Daylight
Rainy,City Road,Afternoon,0.0,60.0,4.0,0.0,Dry,Car,29.0,22.0,Artificial Light
Stormy,Highway,Morning,1.0,60.0,2.0,0.0,Icy,Car,38.0,29.0,Artificial Light
Rainy,City Road,Afternoon,2.0,30.0,2.0,0.0,Dry,Truck,50.0,48.0,Artificial Light
Clear,Mountain Road,Night,2.0,100.0,5.0,0.0,Dry,Motorcycle,47.0,38.0,Artificial Light
Clear,Rural Road,Afternoon,0.0,60.0,4.0,0.0,Dry,Car,25.0,16.0,Artificial Light
Rainy,City Road,Night,0.0,30.0,1.0,1.0,Dry,Motorcycle,67.0,63.0,Artificial Light
Clear,Rural Road,Morning,0.0,60.0,1.0,0.0,Dry,Car,61.0,57.0,Artificial Light
Clear,Rural Road,Night,0.0,60.0,5.0,0.0,Wet,Truck,46.0,39.0,Artificial Light
Rainy,City Road,Afternoon,0.0,60.0,5.0,0.0,Wet,Car,48.0,41.0,Daylight
Snowy,Highway,Afternoon,1.0,100.0,3.0,0.0,Under Construction,Motorcycle,53.0,39.0,Artificial Light
Foggy,City Road,Night,1.0,60.0,3.0,0.0,Wet,Motorcycle,35.0,32.0,No Light
Clear,City Road,Afternoon,1.0,50.0,1.0,0.0,Dry,Car,59.0,53.0,Daylight
Clear,City Road,Morning,2.0,60.0,2.0,0.0,Dry,Car,27.0,23.0,Daylight
Foggy,Rural Road,Evening,0.0,100.0,5.0,0.0,Icy,Car,32.0,24.0,Artificial Light
Clear,Highway,Morning,0.0,30.0,1.0,0.0,Dry,Car,53.0,47.0,Daylight
Rainy,Rural Road,Afternoon,0.0,30.0,4.0,1.0,Under Construction,Car,69.0,64.0,Daylight
Rainy,Highway,Morning,1.0,50.0,3.0,0.0,Dry,Car,68.0,60.0,Daylight
Rainy,Highway,Afternoon,0.0,100.0,3.0,0.0,Wet,Car,28.0,25.0,Artificial Light
Foggy,Rural Road,Morning,1.0,60.0,2.0,1.0,Under Construction,Car,40.0,38.0,Artificial Light
Clear,City Road,Evening,0.0,100.0,2.0,0.0,Dry,Car,30.0,23.0,Artificial Light
Stormy,Highway,Afternoon,2.0,80.0,3.0,0.0,Under Construction,Truck,60.0,57.0,Daylight
Clear,City Road,Afternoon,1.0,80.0,3.0,0.0,Under Construction,Car,66.0,65.0,Artificial Light
Rainy,Highway,Morning,1.0,80.0,1.0,0.0,Dry,Car,43.0,24.0,No Light
Clear,Highway,Afternoon,1.0,30.0,5.0,0.0,Dry,Car,63.0,55.0,Artificial Light
Foggy,Highway,Night,0.0,100.0,1.0,0.0,Under Construction,Car,59.0,57.0,Artificial Light
Clear,Highway,Morning,1.0,60.0,3.0,0.0,Icy,Car,65.0,57.0,Artificial Light
Rainy,Mountain Road,Afternoon,1.0,60.0,1.0,0.0,Dry,Car,18.0,13.0,No Light
Stormy,Highway,Morning,1.0,60.0,5.0,0.0,Dry,Car,33.0,31.0,Daylight
Clear,City Road,Evening,2.0,50.0,5.0,1.0,Dry,Car,55.0,52.0,Artificial Light
Rainy,Highway,Evening,0.0,120.0,5.0,0.0,Dry,Car,38.0,39.0,Artificial Light
Clear,Highway,Morning,2.0,100.0,5.0,0.0,Under Construction,Car,46.0,39.0,Daylight
Clear,City Road,Night,0.0,60.0,4.0,0.0,Icy,Car,33.0,25.0,Artificial Light
Rainy,Highway,Night,1.0,50.0,5.0,0.0,Under Construction,Truck,45.0,36.0,Daylight
Clear,Highway,Morning,0.0,60.0,5.0,0.0,Under Construction,Car,40.0,37.0,Artificial Light
Foggy,Highway,Night,0.0,60.0,5.0,0.0,Dry,Car,69.0,63.0,Daylight
Snowy,Highway,Evening,2.0,50.0,5.0,1.0,Dry,Car,33.0,32.0,Artificial Light
Foggy,Highway,Evening,0.0,60.0,1.0,1.0,Wet,Car,22.0,21.0,Daylight
Rainy,Mountain Road,Afternoon,0.0,60.0,5.0,1.0,Dry,Bus,26.0,25.0,Daylight
Clear,Highway,Night,1.0,30.0,1.0,0.0,Wet,Car,59.0,54.0,Artificial Light
Clear,Highway,Night,1.0,30.0,1.0,1.0,Dry,Car,58.0,39.0,Daylight
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,Dry,Truck,23.0,14.0,Daylight
Clear,Highway,Evening,0.0,50.0,2.0,1.0,Dry,Truck,43.0,39.0,Artificial Light
Rainy,City Road,Morning,0.0,60.0,4.0,1.0,Dry,Car,43.0,48.0,Artificial Light
Clear,Highway,Evening,0.0,80.0,5.0,0.0,Wet,Car,57.0,55.0,Daylight
Clear,Highway,Morning,0.0,60.0,4.0,0.0,Dry,Car,26.0,25.0,Artificial Light
Clear,Highway,Afternoon,2.0,60.0,5.0,0.0,Dry,Truck,34.0,25.0,Artificial Light
Snowy,City Road,Morning,2.0,80.0,1.0,0.0,Wet,Truck,27.0,19.0,Artificial Light
Rainy,City Road,Afternoon,2.0,100.0,3.0,0.0,Dry,Car,57.0,49.0,Artificial Light
Foggy,Highway,Afternoon,1.0,50.0,5.0,0.0,Icy,Car,43.0,39.0,Artificial Light
Rainy,Highway,Afternoon,0.0,100.0,4.0,1.0,Dry,Car,23.0,16.0,Artificial Light
Foggy,Highway,Evening,2.0,100.0,5.0,1.0,Dry,Car,64.0,55.0,Daylight
Clear,Highway,Morning,0.0,60.0,5.0,0.0,Wet,Car,45.0,41.0,Artificial Light
Rainy,Highway,Evening,1.0,50.0,2.0,0.0,Under Construction,Car,67.0,58.0,No Light
Rainy,City Road,Afternoon,1.0,200.0,12.0,0.0,Icy,Car,54.0,53.0,Artificial Light
Clear,Highway,Evening,2.0,120.0,5.0,0.0,Under Construction,Car,42.0,39.0,No Light
Clear,City Road,Morning,2.0,50.0,1.0,0.0,Dry,Car,67.0,66.0,Artificial Light
Clear,Highway,Afternoon,1.0,80.0,3.0,1.0,Dry,Car,56.0,48.0,No Light
Foggy,Rural Road,Morning,0.0,80.0,4.0,0.0,Dry,Motorcycle,40.0,32.0,Daylight
Rainy,Highway,Night,1.0,30.0,1.0,0.0,Dry,Car,54.0,54.0,Daylight
Clear,Highway,Afternoon,2.0,80.0,3.0,0.0,Dry,Car,52.0,43.0,Artificial Light
Clear,Highway,Evening,2.0,60.0,4.0,0.0,Wet,Car,44.0,37.0,Daylight
Clear,Mountain Road,Evening,1.0,206.0,13.0,0.0,Icy,Motorcycle,20.0,17.0,Artificial Light
Foggy,Highway,Evening,2.0,30.0,5.0,0.0,Wet,Car,35.0,26.0,Artificial Light
Rainy,Highway,Afternoon,0.0,120.0,3.0,0.0,Dry,Truck,43.0,39.0,Artificial Light
Clear,City Road,Evening,1.0,80.0,3.0,0.0,Icy,Car,35.0,31.0,Artificial Light
Snowy,Highway,Morning,2.0,60.0,4.0,0.0,Wet,Car,50.0,43.0,Daylight
Rainy,Highway,Afternoon,0.0,60.0,4.0,0.0,Under Construction,Car,65.0,60.0,Daylight
Clear,Highway,Afternoon,1.0,50.0,3.0,0.0,Dry,Motorcycle,41.0,38.0,Daylight
Rainy,Rural Road,Afternoon,0.0,60.0,2.0,0.0,Under Construction,Car,59.0,53.0,Daylight
Clear,Highway,Morning,2.0,50.0,3.0,0.0,Icy,Car,24.0,21.0,Artificial Light
Clear,Highway,Night,1.0,30.0,3.0,0.0,Wet,Car,59.0,54.0,Artificial Light
